title,authors,publication_date,file_path,topics,specialties,clinical_significance,patient_population,pmid,doi,reading_time_minutes,pubmed_enriched
Additional Information on the Management of Infants Born to Mothers With HIV Infection.,"['Pecci, Christine Chang', 'Pollock, Lealah', 'Mittal, Pooja']",2022-08-01,2022/08/additional-information-on-the-management-of-infants-born-to.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Pediatric,35977146,,6,True
Arthropod Bites and Stings.,"['Herness, Joel', 'Snyder, Matthew J', 'Newman, Raquelle Suzanne']",2022-08-01,2022/08/arthropod-bites-and-stings.md,['Family Medicine'],['Family Medicine'],High,Adults,35977137,,6,True
Awake Prone Positioning for Nonintubated Patients With COVID-19 and Acute Hypoxemic Respiratory Failure.,"['Long, Brit', 'Gottlieb, Michael']",2022-08-01,2022/08/awake-prone-positioning-for-nonintubated-patients-with-covid.md,"['Respiratory Disorders', 'Family Medicine', 'Pulmonology']",['Family Medicine'],High,Adults,35977141,,6,True
Can Patient-Reported Outcome Measures Improve Clinical Management and Patient Care?,"['Hoffman, Ariel L', 'Thompson, Zachary P', 'Rogers, Tyler S']",2022-08-01,2022/08/can-patient-reported-outcome-measures-improve-clinical-manag.md,['Family Medicine'],['Family Medicine'],High,Adults,35977139,,6,True
Cannabis for Treatment of Chronic Pain.,"['Seehusen, Dean A', 'Kehoe, Kaitlin']",2022-08-01,2022/08/cannabis-for-treatment-of-chronic-pain.md,['Family Medicine'],['Family Medicine'],High,Adults,35977124,,6,True
Case Report: Moyamoya Disease in a 47-Year-Old Woman.,"['Dalal, Fazal', 'Frazier, Garrett', 'Dass, Sanjay Reuben']",2022-08-01,2022/08/case-report-moyamoya-disease-in-a-47-year-old-woman.md,['Family Medicine'],['Family Medicine'],High,Adults,35977145,,6,True
Correction.,[],2022-08-01,2022/08/correction.md,['Family Medicine'],['Family Medicine'],High,Adults,35977116,,6,True
Countering Medical Misinformation Online and in the Clinic.,"['Shajahan, Asha', 'Pasquetto, Irene V']",2022-08-01,2022/08/countering-medical-misinformation-online-and-in-the-clinic.md,['Family Medicine'],['Family Medicine'],High,Adults,35977143,,6,True
Diverticular Disease: Rapid Evidence Review.,"['Bailey, Justin', 'Dattani, Sheev', 'Jennings, Ann']",2022-08-01,2022/08/diverticular-disease-rapid-evidence-review.md,"['Family Medicine', 'Infectious Disease', 'Antimicrobial Therapy', 'Pharmacology']",['Family Medicine'],High,Adults,35977135,,6,True
Exercise Training for Adults Undergoing Maintenance Dialysis.,"['Cayley, William E']",2022-08-01,2022/08/exercise-training-for-adults-undergoing-maintenance-dialysis.md,['Family Medicine'],['Family Medicine'],High,Adults,35977138,,6,True
Generalized Anxiety Disorder and Panic Disorder in Adults.,"['DeGeorge, Katharine C', 'Grover, Molly', 'Streeter, Gregory S']",2022-08-01,2022/08/generalized-anxiety-disorder-and-panic-disorder-in-adults.md,"['Psychiatry', 'Anxiety Disorders', 'Screening', 'Early Detection', 'Mental Health', 'Prevention', 'Family Medicine']","['Psychiatry', 'Family Medicine']",High,Adults,35977134,,6,True
Help for Anxiety and Panic Disorders.,[],2022-08-01,2022/08/help-for-anxiety-and-panic-disorders.md,"['Anxiety Disorders', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Adults,35977133,,6,True
High-Efficiency Air Cleaners Decrease Exacerbations and the Use of Rescue Medication in Former Smokers With COPD.,"['Barry, Henry C']",2022-08-01,2022/08/high-efficiency-air-cleaners-decrease-exacerbations-and-the.md,['Family Medicine'],['Family Medicine'],High,Adults,35977120,,6,True
Increased Physician Awareness Is Needed to Implement Universal Hepatitis B Vaccination.,"['Kuwahara, Rita K', 'Jabbarpour, Yalda', 'Westfall, John M']",2022-08-01,2022/08/increased-physician-awareness-is-needed-to-implement-univers.md,"['Vaccination', 'Immunization', 'Family Medicine', 'Prevention']",['Family Medicine'],High,Adults,35977140,,6,True
Intravenous Iron vs. Oral Iron in Iron Deficiency Anemia.,"['Mounsey, Anne', 'Peacock, Emily', 'Magnusson, Leif']",2022-08-01,2022/08/intravenous-iron-vs-oral-iron-in-iron-deficiency-anemia.md,['Family Medicine'],['Family Medicine'],High,Adults,35977127,,6,True
Large Increases in the Risk of Cardiovascular Events Following COVID-19 Infection That Required Hospitalization.,"['Ebell, Mark H']",2022-08-01,2022/08/large-increases-in-the-risk-of-cardiovascular-events-followi.md,['Family Medicine'],['Family Medicine'],High,Adults,35977122,,6,True
Medical Cannabis or Cannabinoids for Chronic Pain: BMJ Rapid Recommendation.,"['Hughes, Pamela R', 'Nwokocha, Jennifer']",2022-08-01,2022/08/medical-cannabis-or-cannabinoids-for-chronic-pain-bmj-rapid.md,['Family Medicine'],['Family Medicine'],High,Adults,35977118,,6,True
Multiple Sclerosis: A Primary Care Perspective.,"['Saguil, Aaron', 'Farnell Iv, Edwin A', 'Jordan, Teneisha S']",2022-08-01,2022/08/multiple-sclerosis-a-primary-care-perspective.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']","['Psychiatry', 'Family Medicine']",High,Adults,35977131,,6,True
"Neurosyphilis, Ocular Syphilis, and Otosyphilis: Detection and Treatment.","['Jones-Vanderleest, Jennifer G']",2022-08-01,2022/08/neurosyphilis-ocular-syphilis-and-otosyphilis-detection-and.md,['Family Medicine'],['Family Medicine'],High,Adults,35977144,,6,True
Proximal Femoral Pain in an Adolescent.,"['Creech, Julie', 'Leggit, Jeffrey']",2022-08-01,2022/08/proximal-femoral-pain-in-an-adolescent.md,['Family Medicine'],['Family Medicine'],High,Pediatric,35977125,,6,True
Rapidly Spreading Erythematous Rash.,"['Nelson, Anna', 'Nair, Suchitra', 'Thomas, Ian', 'Hogan, Matthew']",2022-08-01,2022/08/rapidly-spreading-erythematous-rash.md,['Family Medicine'],['Family Medicine'],High,Adults,35977126,,6,True
Remove Race as an Initial Identifier From Clinical Presentations.,"['Blum, Alan']",2022-08-01,2022/08/remove-race-as-an-initial-identifier-from-clinical-presentat.md,['Family Medicine'],['Family Medicine'],High,Adults,35977117,,6,True
Screening Colonoscopies Are Overused.,"['Shaughnessy, Allen F']",2022-08-01,2022/08/screening-colonoscopies-are-overused.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,35977123,,6,True
Screening for Impaired Visual Acuity.,[],2022-08-01,2022/08/screening-for-impaired-visual-acuity.md,"['Screening', 'Family Medicine', 'Prevention', 'Early Detection']",['Family Medicine'],High,Adults,35977129,,6,True
Scrotal Masses.,"['Langan, Robert C', 'Puente, Manuel E E']",2022-08-01,2022/08/scrotal-masses.md,"['Oncology', 'Cancer Screening', 'Infectious Disease', 'Antimicrobial Therapy', 'Malignancy', 'Family Medicine', 'Pharmacology']",['Family Medicine'],High,Adults,35977130,,6,True
Shared Decision-Making: Guidelines From the National Institute for Health and Care Excellence.,"['Raleigh, Meghan F', 'Nelson, Madalyn D', 'Nguyen, Dana R']",2022-08-01,2022/08/shared-decision-making-guidelines-from-the-national-institut.md,['Family Medicine'],['Family Medicine'],High,Adults,35977119,,6,True
Ticks: How to Protect Yourself.,[],2022-08-01,2022/08/ticks-how-to-protect-yourself.md,['Family Medicine'],['Family Medicine'],High,Adults,35977136,,6,True
Updated American College of Chest Physicians Guideline on Antithrombotic Therapy for Venous Thromboembolism.,"['Ebell, Mark H']",2022-08-01,2022/08/updated-american-college-of-chest-physicians-guideline-on-an.md,['Family Medicine'],['Family Medicine'],High,Adults,35977121,,6,True
Acute Headache in Adults: A Diagnostic Approach.,"['Viera, Anthony J', 'Antono, Brian']",2022-09-01,2022/09/acute-headache-in-adults-a-diagnostic-approach.md,['Family Medicine'],['Family Medicine'],High,Adults,36126007,,6,True
Aspirin Use to Prevent Cardiovascular Disease.,[],2022-09-01,2022/09/aspirin-use-to-prevent-cardiovascular-disease.md,['Family Medicine'],['Family Medicine'],High,Adults,36126017,,6,True
COVID-19 and Congenital Abnormalities in a Pregnant Woman.,"['Swindle, Kerry K']",2022-09-01,2022/09/covid-19-and-congenital-abnormalities-in-a-pregnant-woman.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Maternal,36126023,,6,True
Chronic Constipation in Adults.,"['Sadler, Kerry', 'Arnold, Frank', 'Dean, Spencer']",2022-09-01,2022/09/chronic-constipation-in-adults.md,"['Psychiatry', 'Prevention', 'Chronic Disease Management', 'Long-term Care', 'Screening', 'Oncology', 'Gastroenterology', 'Depression', 'Early Detection', 'Mental Health', 'Malignancy', 'Family Medicine', 'Digestive Disorders', 'Cancer Screening']","['Family Medicine', 'Gastroenterology']",High,Adults,36126011,,6,True
"Chronic, Nonhealing Wound.","['Humphrey, Courtney', 'Julian, Christina']",2022-09-01,2022/09/chronic-nonhealing-wound.md,['Family Medicine'],['Family Medicine'],High,Adults,36126020,,6,True
Collaborative Care for Depression in Older Adults.,"['Glaseroff, Alan', 'Lindsay, Ann', 'Haskell, Helen', 'James, John']",2022-09-01,2022/09/collaborative-care-for-depression-in-older-adults.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Geriatric,36126014,,6,True
Comparable Outcomes With Five and 10 Days of Antibiotics in Children With CAP.,"['Barry, Henry C']",2022-09-01,2022/09/comparable-outcomes-with-five-and-10-days-of-antibiotics-in.md,"['Family Medicine', 'Infectious Disease', 'Antimicrobial Therapy', 'Pharmacology']",['Family Medicine'],High,Pediatric,36125993,,6,True
Contraception Recommendations: Updates for the Busy Clinician.,"['Clark, Elizabeth A', 'Curtis, Kathryn M']",2022-09-01,2022/09/contraception-recommendations-updates-for-the-busy-clinician.md,['Family Medicine'],['Family Medicine'],High,Adults,36126000,,6,True
Diagnosis of Urinary Tract Infection in Women.,"['Ebell, Mark H', 'Gagyor, Ildiko']",2022-09-01,2022/09/diagnosis-of-urinary-tract-infection-in-women.md,['Family Medicine'],['Family Medicine'],High,Adults,36126022,,6,True
Evidence-Based Contraception: Common Questions and Answers.,"['Paradise, Scott L', 'Landis, Corinne A', 'Klein, David A']",2022-09-01,2022/09/evidence-based-contraception-common-questions-and-answers.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Maternal,36126006,,6,True
Ibrexafungerp (Brexafemme) for the Treatment of Vulvovaginal Candidiasis.,"['Woolfolk, Kelsea', 'Hughes, Jonathan']",2022-09-01,2022/09/ibrexafungerp-brexafemme-for-the-treatment-of-vulvovaginal-c.md,['Family Medicine'],['Family Medicine'],High,Adults,36126016,,6,True
Incorporating Lifestyle Medicine Into Practice: A Prescription for Better Health.,"['McDonald, Alex']",2022-09-01,2022/09/incorporating-lifestyle-medicine-into-practice-a-prescriptio.md,['Family Medicine'],['Family Medicine'],High,Adults,36126001,,6,True
Incorporating Music Therapy Into Primary Care.,"['Schoonover, Julie', 'Rubin, Susan E']",2022-09-01,2022/09/incorporating-music-therapy-into-primary-care.md,['Family Medicine'],['Family Medicine'],High,Adults,36125999,,6,True
Influenza Vaccine Shortly After Myocardial Infarction Reduces One-Year Mortality.,"['Ebell, Mark H']",2022-09-01,2022/09/influenza-vaccine-shortly-after-myocardial-infarction-reduce.md,['Family Medicine'],['Family Medicine'],High,Adults,36125995,,6,True
"Ketamine Reduces Suicidal Ideation Quickly, but May Not Reduce the Short-term Likelihood of Suicide Attempts.","['Shaughnessy, Allen F']",2022-09-01,2022/09/ketamine-reduces-suicidal-ideation-quickly-but-may-not-reduc.md,['Family Medicine'],['Family Medicine'],High,Adults,36125996,,6,True
Lamotrigine in the Maintenance Treatment of Bipolar Disorder.,"['Salisbury-Afshar, Elizabeth']",2022-09-01,2022/09/lamotrigine-in-the-maintenance-treatment-of-bipolar-disorder.md,['Family Medicine'],['Family Medicine'],High,Adults,36126005,,6,True
"Malaria: Prevention, Diagnosis, and Treatment.","['Shahbodaghi, S David', 'Rathjen, Nicholas A']",2022-09-01,2022/09/malaria-prevention-diagnosis-and-treatment.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Pediatric,36126008,,6,True
Management of Rheumatoid Arthritis: Update From ACR.,"['Arnold, Michael J']",2022-09-01,2022/09/management-of-rheumatoid-arthritis-update-from-acr.md,['Family Medicine'],['Family Medicine'],High,Adults,36125998,,6,True
Oral Antihistamine/Analgesic/Decongestant Combinations for the Common Cold.,"['Clebak, Karl T', 'Partin, Michael T', 'Borrero, Nathan']",2022-09-01,2022/09/oral-antihistamine-analgesic-decongestant-combinations-for-t.md,['Family Medicine'],['Family Medicine'],High,Adults,36126004,,6,True
Oral Antihistamine/Analgesic/Decongestant Combinations for the Common Cold.,"['Clebak, Karl T', 'Partin, Michael T', 'Borrero, Nathan']",2022-09-01,2022/09/oral-antihistamineanalgesicdecongestant-combinations-for-the.md,['Family Medicine'],['Family Medicine'],High,Adults,36126004,,6,True
Predicting and Preventing Preterm Birth: Recommendations From ACOG.,"['Arnold, Michael J']",2022-09-01,2022/09/predicting-and-preventing-preterm-birth-recommendations-from.md,['Family Medicine'],['Family Medicine'],High,Adults,36125997,,6,True
"Procalcitonin for Diagnosis, Risk Assessment, and Prognosis of Respiratory Tract Infections.","['Yancey, Joseph R', 'Nelson, Madalyn D', 'Whalen, Nicholas J']",2022-09-01,2022/09/procalcitonin-for-diagnosis-risk-assessment-and-prognosis-of.md,"['Respiratory Disorders', 'Family Medicine', 'Pulmonology']",['Family Medicine'],High,Adults,36126021,,6,True
Recreational Cannabis and Emergency Department Visits.,"['Mullen, Rebecca', 'Aho, Hannah', 'DeSanto, Kristen']",2022-09-01,2022/09/recreational-cannabis-and-emergency-department-visits.md,['Family Medicine'],['Family Medicine'],High,Adults,36126015,,6,True
"Red, Tender Nodules in a Child With Cellulitis.","['Do, Kent H', 'Dhaliwal, Sukhmani']",2022-09-01,2022/09/red-tender-nodules-in-a-child-with-cellulitis.md,['Family Medicine'],['Family Medicine'],High,Adults,36126019,,6,True
Risk of Infection With Intravenous Iron Infusion.,"['Beaudoin, Jarett', 'Frasca, Daniel J']",2022-09-01,2022/09/risk-of-infection-with-intravenous-iron-infusion.md,['Family Medicine'],['Family Medicine'],High,Adults,36126002,,6,True
Surgery Is No Better Than Nonoperative Treatment for Achilles Tendon Rupture in Adults.,"['Ebell, Mark H']",2022-09-01,2022/09/surgery-is-no-better-than-nonoperative-treatment-for-achille.md,['Family Medicine'],['Family Medicine'],High,Adults,36125994,,6,True
Thrombocytopenia.,[],2022-09-01,2022/09/thrombocytopenia.md,['Family Medicine'],['Family Medicine'],High,Adults,36126010,,6,True
Thrombocytopenia: Evaluation and Management.,"['Gauer, Robert L', 'Whitaker, Daniel J']",2022-09-01,2022/09/thrombocytopenia-evaluation-and-management.md,['Family Medicine'],['Family Medicine'],High,Adults,36126009,,6,True
Tuberculosis: Common Questions and Answers.,"['Hartman-Adams, Holly', 'Gerbo, Robert M', 'George, Saira']",2022-09-01,2022/09/tuberculosis-common-questions-and-answers.md,['Family Medicine'],['Family Medicine'],High,Adults,36126013,,6,True
A Disseminated Rash on the Upper Body.,"['DiPasquale, Paul', 'Beraja, Gabriela E']",2022-10-01,2022/10/a-disseminated-rash-on-the-upper-body.md,['Family Medicine'],['Family Medicine'],High,Adults,36260907,,6,True
Aducanumab Is Not Effective for Mild Cognitive Impairment or Mild Alzheimer Dementia and Has Major Safety Issues.,"['Ebell, Mark H']",2022-10-01,2022/10/aducanumab-is-not-effective-for-mild-cognitive-impairment-or.md,['Family Medicine'],['Family Medicine'],High,Adults,36260879,,6,True
Albumin Infusion for Spontaneous Bacterial Peritonitis.,"['Long, Brit', 'Gottlieb, Michael']",2022-10-01,2022/10/albumin-infusion-for-spontaneous-bacterial-peritonitis.md,['Family Medicine'],['Family Medicine'],High,Adults,36260890,,6,True
Barrett Esophagus: Rapid Evidence Review.,"['Bryce, Carl', 'Bucaj, Merima', 'Gazda, Renee']",2022-10-01,2022/10/barrett-esophagus-rapid-evidence-review.md,"['Family Medicine', 'Screening', 'Oncology', 'Early Detection', 'Prevention', 'Malignancy', 'Cancer Screening']",['Family Medicine'],High,Adults,36260894,,6,True
Behavioral Counseling Interventions to Promote a Healthy Diet and Physical Activity for CVD Prevention in Adults Without CVD Risk Factors.,"['Harris, Sheena', 'Inoue, Sayuri']",2022-10-01,2022/10/behavioral-counseling-interventions-to-promote-a-healthy-die.md,['Family Medicine'],['Family Medicine'],High,Adults,36260902,,6,True
CDC's Revised Developmental Milestone Checklists.,"['Zubler, Jennifer', 'Whitaker, Toni']",2022-10-01,2022/10/cdc-s-revised-developmental-milestone-checklists.md,['Family Medicine'],['Family Medicine'],High,Adults,36260888,,6,True
CDC's Revised Developmental Milestone Checklists.,"['Zubler, Jennifer', 'Whitaker, Toni']",2022-10-01,2022/10/cdcs-revised-developmental-milestone-checklists.md,['Family Medicine'],['Family Medicine'],High,Adults,36260888,,6,True
Cannabis Use During Pregnancy.,"['Frank, Christopher J', 'Morrison, Leigh']",2022-10-01,2022/10/cannabis-use-during-pregnancy.md,"['Family Medicine', 'Pregnancy', 'Maternal Health', 'Obstetrics']",['Family Medicine'],High,Maternal,36260885,,6,True
Case Report: Complication of In-Office Lipoma Excision.,"['Holzmer, Stephanie W', 'Sharpe, Frances E']",2022-10-01,2022/10/case-report-complication-of-in-office-lipoma-excision.md,['Family Medicine'],['Family Medicine'],High,Adults,36260911,,6,True
Case Report: Supernumerary Natal Teeth in a Four-Day-Old Infant.,"['Bovet, Claire', 'Burke, Shawnecca']",2022-10-01,2022/10/case-report-supernumerary-natal-teeth-in-a-four-day-old-infa.md,['Family Medicine'],['Family Medicine'],High,Pediatric,36260910,,6,True
Caution Before Antibiotic De-escalation Following Negative MRSA Nares Testing.,"['Gaillardetz, Andrew']",2022-10-01,2022/10/caution-before-antibiotic-de-escalation-following-negative-m.md,['Family Medicine'],['Family Medicine'],High,Adults,36260884,,6,True
Combination Antidepressant Therapy Is More Effective Than Monotherapy for Acute Severe Depression and Nonresponding Depression.,"['Slawson, David C']",2022-10-01,2022/10/combination-antidepressant-therapy-is-more-effective-than-mo.md,"['Depression', 'Psychiatry', 'Family Medicine', 'Mental Health']",['Family Medicine'],High,Adults,36260877,,6,True
Correction.,[],2022-10-01,2022/10/correction.md,['Family Medicine'],['Family Medicine'],High,Adults,36260886,,6,True
Diary of a Family Physician.,"['Hayashi, Seiji']",2022-10-01,2022/10/diary-of-a-family-physician.md,['Family Medicine'],['Family Medicine'],High,Adults,36260908,,6,True
Duty to Report Incompetent Physicians.,"['Weiss, Barry D']",2022-10-01,2022/10/duty-to-report-incompetent-physicians.md,['Family Medicine'],['Family Medicine'],High,Adults,36260905,,6,True
Effect of Psychotherapy on Patients With Borderline Personality Disorder.,"['Cohen, Donna', 'Lau, Kyle', 'Lau, Sirimas']",2022-10-01,2022/10/effect-of-psychotherapy-on-patients-with-borderline-personal.md,['Family Medicine'],['Family Medicine'],High,Adults,36260893,,6,True
